,Datetime,ScripName,V15D_SD,V30D_SD,V45D_SD,R03D_DR,R15D_DR,R30D_DR,R45D_DR,K,D,oversold,overbought,weighted_vol,weighted_daily_return,stochastic_signal
0,2024-12-27,ASIANPAINT,0.007951270432159417,0.009696691701440345,0.009719493245908484,-0.0023609486307242123,-0.006414327646217565,-0.004883672214122948,-0.006417450685804463,2.789598108747088,6.1573965782055495,1,0,0.008653999248765417,-0.0040818193560106545,0
1,2024-12-27,EICHERMOT,0.007444876348796031,0.011562942900156295,0.014241102399738876,0.006726618800377649,0.0014628612698406515,0.0007641836730308424,0.0006347519741504158,50.07840062720513,42.33633869070953,0,0,0.009627734869256652,0.003872193586178165,0
2,2024-12-27,HEROMOTOCO,0.011851874281194162,0.012591090961941564,0.015983407851380475,-0.003688250305638858,-0.005613775368262607,-0.005844987839900515,-0.006917820285649354,5.319148936170213,3.4363332125083947,1,0,0.012826024331380905,-0.0048276598230169885,1
3,2024-12-27,ITC,0.008486286073879962,0.010907700210700096,0.010389639412681208,-4.0126361701288144e-05,-0.0008639191938307998,0.00015143471984080346,-0.0008022302294110216,83.774834437086,87.53451289650634,0,1,0.009351239569004239,-0.00024278309858974552,0
4,2024-12-27,TATAMOTORS,0.015684282102022613,0.013931896133250379,0.014844165190603987,0.010158637182691404,-0.0046388966252013785,-0.003733900439709544,-0.0057357326119015384,22.503653190452912,14.937489852248715,0,0,0.01516578152598444,0.0028311859171733633,0
5,2024-12-27,APOLLOHOSP,0.007791870695453351,0.012272614806838649,0.01225497938692084,-0.0019366251779690147,0.0012624719695503012,0.0009837088011521835,-0.00021572568619312473,49.00990099009901,47.507517487637095,0,0,0.009580641256023908,-0.0005406490034633228,0
6,2024-12-27,SBIN,0.01108953309496557,0.013994825938208416,0.015510933417858887,-0.011611156789856483,-0.0048257554270451355,-0.0017513405543793797,-0.0006648094142390065,6.597479614529344,9.311757226060456,1,0,0.012554871728192803,-0.007187478532637045,0
7,2024-12-27,M&M,0.01288892818754708,0.016044660330316197,0.017346396662634343,0.014544631497153857,0.001488190496796911,0.0006112914762545086,0.0007881638438587983,39.055324732123395,22.538085866316834,0,0,0.014411568311118356,0.007771028527573092,0
8,2024-12-27,BEL,0.010796948015838134,0.012386182621133857,0.016571728507525016,-0.005885268301398396,-0.0044888332234749775,-0.001965125592186791,-0.00015518397491583316,23.491027732463277,19.11335904050825,0,0,0.012269751035234654,-0.004248944311323135,0
9,2024-12-27,JSWSTEEL,0.00955385370033751,0.013313199778395087,0.015669624499374528,-0.008574810073889098,-0.007215440070264158,-0.00182109684373767,-0.001704574737232856,2.153432032301561,11.126065500224373,1,0,0.011528877075756429,-0.0062651698934682015,0
10,2024-12-27,ICICIBANK,0.006812030449763573,0.007900389975013404,0.008933718472331492,-7.367285999816068e-05,0.0008836879903642084,0.0014818074890374927,0.0009867549291836658,31.966688020499465,31.68908819133017,0,0,0.007454039959327123,0.0005349381587996264,0
11,2024-12-27,INDUSINDBK,0.014348375153661597,0.01225997140867027,0.01951719830027243,0.0026106763959816257,-0.0032856466737852482,-0.005602737928152442,-0.006332300286826547,6.748466257668712,13.74233128834353,1,0,0.014964459033985498,-0.00110556875107938,0
12,2024-12-27,ONGC,0.009144435750726,0.012078284019845524,0.012761361172673,-0.007349296911018923,-0.005653108537880574,-0.003499943228888388,-0.004491493792238808,17.870036101083,16.689000374944055,1,0,0.010454590488939304,-0.005954408188087134,1
13,2024-12-27,BAJAJ-AUTO,0.011391179525639662,0.012566451872183948,0.01525944284532147,0.006015352359116862,0.000532483956434388,-0.0031965189209127846,-0.0036433128765577835,35.158501440922244,19.12798545113216,0,0,0.012399886658884881,0.0021105378990069735,0
14,2024-12-27,BRITANNIA,0.00936003645873214,0.01096335292577413,0.017812392504675777,0.003035404895944437,-0.0013205332289433437,-0.001871393365043134,-0.004425943027046754,38.95302547770682,27.99867098210217,0,0,0.011371170961329264,0.00043672282647024756,0
15,2024-12-27,NESTLEIND,0.008537884599738733,0.00903057469377851,0.009638443619545562,0.002184315787558996,-0.0033851365683682747,-0.002230865672292792,-0.00343070751057221,3.0706243602865975,7.278517002160719,1,0,0.008856534422508056,-0.0003741133054099364,0
16,2024-12-27,HINDALCO,0.00991569939545915,0.011409697142548393,0.015145289112949033,-0.010376783998752952,-0.004972668876415476,-0.003454845172884634,-0.004321699991250376,22.298325722983247,24.37848807711821,0,0,0.011260416888374975,-0.007306064808361536,0
17,2024-12-27,RELIANCE,0.007580650727249881,0.010747161829224628,0.010538208485281655,-0.001098265266237849,-0.0031002305928196565,-0.0016347641125323204,-0.0017901127300993388,12.295751633986882,15.010741656638402,1,0,0.008805464499251186,-0.0016751428471992538,0
18,2024-12-27,TRENT,0.015991970270344956,0.014783384248082086,0.01893523483210324,0.0033599358838513524,0.0005681230802798521,0.0014954806045035722,-0.0021375765056810695,68.8158554942298,59.35850404886346,0,0,0.01633890597824404,0.001878931028314254,0
19,2024-12-27,TATASTEEL,0.00844099482863426,0.01086192238360285,0.013697826501669948,-0.007595474643214496,-0.003633314899810614,-0.0024686025225338065,-0.0035030817432598663,8.377358490566142,10.195220125786207,1,0,0.009976546674235115,-0.005368428980402119,0
20,2024-12-27,DRREDDY,0.014744486525455961,0.014307000720560011,0.014887845397781867,0.009093502182647656,0.005920376749090164,0.0021278577314694743,-0.0006813783854720219,90.48120828942751,87.3558530009107,0,1,0.01468566113894195,0.006088260148888553,0
