,Unnamed: 0,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode,n_high,n_low,K,D,overbought_K,overbought_D,oversold_K,oversold_D,overbought,oversold,signal,signal_sanitized
71,71,2022-04-19T00:00:00,3030.0,3059.2,2970.0,2991.2,749782,ASIANPAINT,236,3222.0,2970.0,8.41269841269834,19.554892865032038,0,0,1,1,0,1,-11.142194452333698,0
72,72,2022-04-20T00:00:00,2991.3,3089.5,2980.0,3083.0,838182,ASIANPAINT,236,3222.0,2970.0,44.84126984126984,21.56547487561404,0,0,0,0,0,0,0.0,1
73,73,2022-04-21T00:00:00,3089.8,3174.4,3086.05,3158.25,1069035,ASIANPAINT,236,3222.0,2970.0,74.70238095238095,42.65211640211638,0,0,0,0,0,0,0.0,1
74,74,2022-04-22T00:00:00,3121.5,3173.3,3113.25,3164.4,681191,ASIANPAINT,236,3222.0,2970.0,77.14285714285717,65.56216931216932,0,0,0,0,0,0,0.0,1
75,75,2022-04-25T00:00:00,3134.0,3155.1,3095.1,3130.6,1096774,ASIANPAINT,236,3222.0,2970.0,63.73015873015869,71.85846560846561,0,0,0,0,0,0,-0.0,1
76,76,2022-04-26T00:00:00,3130.0,3148.7,3105.8,3125.65,1703441,ASIANPAINT,236,3222.0,2970.0,61.765873015873055,67.5462962962963,0,0,0,0,0,0,-0.0,1
77,77,2022-04-27T00:00:00,3096.0,3164.0,3085.95,3148.35,963536,ASIANPAINT,236,3222.0,2970.0,70.77380952380949,65.42328042328042,0,0,0,0,0,0,0.0,1
78,78,2022-04-28T00:00:00,3190.0,3268.0,3170.0,3247.7,2001838,ASIANPAINT,236,3268.0,2970.0,93.18791946308718,75.24253400092324,1,0,0,0,0,0,0.0,1
79,79,2022-04-29T00:00:00,3249.0,3278.0,3221.3,3237.2,1088970,ASIANPAINT,236,3278.0,2970.0,86.7532467532467,83.57165858004778,1,1,0,0,1,0,0.0,1
80,80,2022-05-02T00:00:00,3195.0,3211.5,3154.05,3200.0,595522,ASIANPAINT,236,3278.0,2970.0,74.67532467532467,84.87216363055285,0,1,0,0,0,0,-0.0,1
81,81,2022-05-04T00:00:00,3178.0,3194.7,3081.45,3100.85,1120002,ASIANPAINT,236,3278.0,2970.0,42.483766233766204,67.97077922077919,0,0,0,0,0,0,-0.0,1
82,82,2022-05-05T00:00:00,3104.75,3126.95,3070.0,3076.55,724601,ASIANPAINT,236,3278.0,2970.0,34.59415584415591,50.5844155844156,0,0,0,0,0,0,-0.0,1
83,83,2022-05-06T00:00:00,3020.0,3052.4,3003.9,3016.25,923941,ASIANPAINT,236,3278.0,2970.0,15.016233766233766,30.69805194805196,0,0,1,0,0,0,-0.0,1
84,84,2022-05-09T00:00:00,3000.85,3038.8,2975.0,3005.25,998324,ASIANPAINT,236,3278.0,2970.0,11.444805194805195,20.351731601731622,0,0,1,0,0,0,-0.0,1
85,85,2022-05-10T00:00:00,3051.0,3138.75,3036.0,3086.35,2460016,ASIANPAINT,236,3278.0,2975.0,36.74917491749172,21.07007129284356,0,0,0,0,0,0,0.0,1
86,86,2022-05-11T00:00:00,3090.4,3109.55,2979.0,3053.65,1883969,ASIANPAINT,236,3278.0,2975.0,25.957095709570986,24.717025273955965,0,0,0,0,0,0,0.0,1
87,87,2022-05-12T00:00:00,3042.0,3078.0,2988.0,3039.95,1254245,ASIANPAINT,236,3278.0,2975.0,21.435643564356376,28.04730473047303,0,0,0,0,0,0,-0.0,1
88,88,2022-05-13T00:00:00,3074.4,3116.25,3035.3,3064.0,1121729,ASIANPAINT,236,3278.0,2975.0,29.372937293729372,25.588558855885577,0,0,0,0,0,0,0.0,1
89,89,2022-05-16T00:00:00,3089.9,3089.9,2985.2,2999.9,733044,ASIANPAINT,236,3278.0,2975.0,8.217821782178248,19.675467546754664,0,0,1,1,0,1,-11.457645764576416,0
90,90,2022-05-17T00:00:00,2998.9,3056.6,2951.0,3050.0,1179081,ASIANPAINT,236,3278.0,2951.0,30.275229357798164,22.621996144568595,0,0,0,0,0,0,0.0,1
91,91,2022-05-18T00:00:00,3030.0,3128.8,3026.0,3100.1,1379763,ASIANPAINT,236,3278.0,2951.0,45.59633027522933,28.02979380506858,0,0,0,0,0,0,0.0,1
92,92,2022-05-19T00:00:00,3000.5,3071.7,3000.45,3046.9,772390,ASIANPAINT,236,3278.0,2951.0,29.32721712538229,35.06625891946993,0,0,0,0,0,0,-0.0,1
93,93,2022-05-20T00:00:00,3080.0,3125.0,3070.0,3109.95,778957,ASIANPAINT,236,3211.5,2951.0,61.017274472168836,45.31360729092682,0,0,0,0,0,0,0.0,1
94,94,2022-05-23T00:00:00,3143.95,3188.0,3130.05,3174.2,813294,ASIANPAINT,236,3194.7,2951.0,91.58801805498562,60.64416988417892,1,0,0,0,0,0,0.0,1
95,95,2022-05-24T00:00:00,3174.75,3183.65,3070.0,3086.85,691307,ASIANPAINT,236,3188.0,2951.0,57.32067510548519,69.97532254421321,0,0,0,0,0,0,-0.0,1
96,96,2022-05-25T00:00:00,3039.0,3039.0,2826.3,2838.05,3381427,ASIANPAINT,236,3188.0,2826.3,3.248548520873654,50.71908056044816,0,0,1,0,0,0,-0.0,1
97,97,2022-05-26T00:00:00,2850.0,2860.0,2718.55,2840.15,3212196,ASIANPAINT,236,3188.0,2718.55,25.902652039620822,28.82395855532656,0,0,0,0,0,0,-0.0,1
98,98,2022-05-27T00:00:00,2868.0,2869.0,2781.0,2834.85,1879534,ASIANPAINT,236,3188.0,2718.55,24.773671317499154,17.97495729266455,0,0,0,1,0,0,0.0,1
99,99,2022-05-30T00:00:00,2880.0,2884.0,2817.0,2844.0,2525482,ASIANPAINT,236,3188.0,2718.55,26.722760677388404,25.799694678169462,0,0,0,0,0,0,0.0,1
100,100,2022-05-31T00:00:00,2844.0,2878.0,2811.0,2859.65,2408221,ASIANPAINT,236,3188.0,2718.55,30.056449036106073,27.184293676997882,0,0,0,0,0,0,0.0,1
101,101,2022-06-01T00:00:00,2859.65,2939.9,2832.05,2852.5,1770795,ASIANPAINT,236,3188.0,2718.55,28.533390137394797,28.43753328362976,0,0,0,0,0,0,0.0,1
102,102,2022-06-02T00:00:00,2870.2,2919.0,2848.0,2908.55,1164197,ASIANPAINT,236,3188.0,2718.55,40.47289381190757,33.02091099513615,0,0,0,0,0,0,0.0,1
103,103,2022-06-03T00:00:00,2905.0,2919.45,2856.0,2886.9,1228489,ASIANPAINT,236,3188.0,2718.55,35.861114069655976,34.95579933965278,0,0,0,0,0,0,0.0,1
104,104,2022-06-06T00:00:00,2871.1,2872.0,2807.7,2817.45,1193698,ASIANPAINT,236,3188.0,2718.55,21.067206305250757,32.46707139560477,0,0,0,0,0,0,-0.0,1
105,105,2022-06-07T00:00:00,2800.0,2804.0,2731.0,2744.7,1403598,ASIANPAINT,236,3188.0,2718.55,5.570348279901937,20.832889551602893,0,0,1,0,0,0,-0.0,1
106,106,2022-06-08T00:00:00,2771.9,2775.0,2700.0,2705.2,1743575,ASIANPAINT,236,3188.0,2700.0,1.065573770491766,9.234376118548157,0,0,1,1,0,1,-8.168802348056392,0
107,107,2022-06-09T00:00:00,2680.0,2697.6,2633.75,2686.8,1857501,ASIANPAINT,236,3188.0,2633.75,9.571493008570172,5.402471686321296,0,0,1,1,0,1,4.169021322248876,1
108,108,2022-06-10T00:00:00,2665.0,2736.0,2652.0,2708.75,1592920,ASIANPAINT,236,3183.65,2633.75,13.638843426077466,8.091970068379807,0,0,1,1,0,1,5.54687335769766,1
109,109,2022-06-13T00:00:00,2669.95,2683.0,2642.5,2660.75,1674206,ASIANPAINT,236,3039.0,2633.75,6.662553979025293,9.957630137890982,0,0,1,1,0,1,-3.2950761588656894,0
110,110,2022-06-14T00:00:00,2617.0,2666.35,2585.0,2635.4,2296040,ASIANPAINT,236,2939.9,2585.0,14.201183431952686,11.500860279018488,0,0,1,1,0,1,2.700323152934198,1
111,111,2022-06-15T00:00:00,2650.0,2683.6,2627.1,2661.15,928842,ASIANPAINT,236,2939.9,2585.0,21.456748379825324,14.10682859693444,0,0,0,1,0,0,0.0,1
112,112,2022-06-16T00:00:00,2694.95,2725.45,2640.0,2657.45,1280628,ASIANPAINT,236,2939.9,2585.0,20.414201183431896,18.690710998403304,0,0,0,1,0,0,0.0,1
113,113,2022-06-17T00:00:00,2650.1,2657.0,2560.0,2580.2,2043251,ASIANPAINT,236,2939.9,2560.0,5.317188733877287,15.729379432378172,0,0,1,1,0,1,-10.412190698500886,0
114,114,2022-06-20T00:00:00,2600.0,2673.35,2588.35,2660.7,1595360,ASIANPAINT,236,2939.9,2560.0,26.506975519873595,17.412788479060932,0,0,0,1,0,0,0.0,1
115,115,2022-06-21T00:00:00,2674.95,2710.0,2640.0,2678.35,1042074,ASIANPAINT,236,2919.45,2560.0,32.9253025455557,21.58315559976887,0,0,0,0,0,0,0.0,1
116,116,2022-06-22T00:00:00,2688.0,2707.95,2626.35,2666.35,1871760,ASIANPAINT,236,2919.45,2560.0,29.586868827375145,29.67304896426815,0,0,0,0,0,0,-0.0,1
117,117,2022-06-23T00:00:00,2674.95,2767.95,2674.95,2758.2,1612872,ASIANPAINT,236,2872.0,2560.0,63.525641025640965,42.01260413285728,0,0,0,0,0,0,0.0,1
118,118,2022-06-24T00:00:00,2775.0,2784.8,2726.0,2760.9,2215583,ASIANPAINT,236,2804.0,2560.0,82.33606557377053,58.48285847559555,1,0,0,0,0,0,0.0,1
119,119,2022-06-27T00:00:00,2779.9,2827.65,2765.0,2820.95,1295734,ASIANPAINT,236,2827.65,2560.0,97.49673080515589,81.1194791348558,1,1,0,0,1,0,0.0,1
120,120,2022-06-28T00:00:00,2780.0,2784.8,2704.3,2726.5,1838358,ASIANPAINT,236,2827.65,2560.0,62.20810760321313,80.68030132737987,0,1,0,0,0,0,-0.0,1
121,121,2022-06-29T00:00:00,2706.5,2719.0,2678.0,2697.8,1066354,ASIANPAINT,236,2827.65,2560.0,51.48514851485154,70.39666230774019,0,0,0,0,0,0,-0.0,1
122,122,2022-06-30T00:00:00,2714.85,2726.95,2680.0,2695.2,1291447,ASIANPAINT,236,2827.65,2560.0,50.513730618344766,54.73566224546982,0,0,0,0,0,0,-0.0,1
123,123,2022-07-01T00:00:00,2704.9,2780.0,2685.0,2773.15,1477191,ASIANPAINT,236,2827.65,2560.0,79.63758640014944,60.54548851111525,0,0,0,0,0,0,0.0,1
124,124,2022-07-04T00:00:00,2775.15,2798.0,2744.8,2790.3,653147,ASIANPAINT,236,2827.65,2560.0,86.04520829441438,72.06550843763621,1,0,0,0,0,0,0.0,1
125,125,2022-07-05T00:00:00,2785.0,2812.3,2760.0,2766.6,1073043,ASIANPAINT,236,2827.65,2560.0,77.19036054548846,80.95771841335076,0,1,0,0,0,0,-0.0,1
126,126,2022-07-06T00:00:00,2830.55,2869.0,2805.15,2861.4,2085735,ASIANPAINT,236,2869.0,2560.0,97.54045307443369,86.92534063811217,1,1,0,0,1,0,0.0,1
127,127,2022-07-07T00:00:00,2901.4,2932.0,2876.8,2891.4,1469087,ASIANPAINT,236,2932.0,2588.35,88.18565400843885,87.63882254278701,1,1,0,0,1,0,0.0,1
128,128,2022-07-08T00:00:00,2880.0,2888.0,2840.5,2879.8,1274148,ASIANPAINT,236,2932.0,2626.35,82.92164240143963,89.54924982810405,1,1,0,0,1,0,-0.0,1
129,129,2022-07-11T00:00:00,2874.0,2940.55,2851.35,2933.05,1081885,ASIANPAINT,236,2940.55,2626.35,97.61298535964355,89.57342725650733,1,1,0,0,1,0,0.0,1
130,130,2022-07-12T00:00:00,2920.0,2923.25,2885.4,2893.2,1115524,ASIANPAINT,236,2940.55,2674.95,82.17243975903604,87.5690225067064,1,1,0,0,1,0,-0.0,1
131,131,2022-07-13T00:00:00,2949.0,2968.95,2926.05,2941.2,2153712,ASIANPAINT,236,2968.95,2678.0,90.4622787420519,90.08256795357717,1,1,0,0,1,0,0.0,1
132,132,2022-07-14T00:00:00,2952.1,2954.85,2912.4,2939.15,882479,ASIANPAINT,236,2968.95,2678.0,89.75769032479816,87.46413627529536,1,1,0,0,1,0,0.0,1
133,133,2022-07-15T00:00:00,2949.95,2985.0,2940.45,2978.15,1668006,ASIANPAINT,236,2985.0,2678.0,97.76872964169384,92.66289956951464,1,1,0,0,1,0,0.0,1
134,134,2022-07-18T00:00:00,2994.75,3025.0,2988.4,3017.85,823390,ASIANPAINT,236,3025.0,2678.0,97.9394812680115,95.15530041150117,1,1,0,0,1,0,0.0,1
135,135,2022-07-19T00:00:00,2983.45,3023.0,2978.15,3019.1,638171,ASIANPAINT,236,3025.0,2680.0,98.28985507246375,97.99935532738971,1,1,0,0,1,0,0.0,1
136,136,2022-07-20T00:00:00,3033.0,3044.7,3000.0,3006.45,867436,ASIANPAINT,236,3044.7,2685.0,89.36613844870725,95.19849159639416,1,1,0,0,1,0,-0.0,1
137,137,2022-07-21T00:00:00,2981.0,3084.95,2981.0,3066.1,1184060,ASIANPAINT,236,3084.95,2744.8,94.45832720858446,94.0381069099185,1,1,0,0,1,0,0.0,1
138,138,2022-07-22T00:00:00,3066.1,3092.75,3048.0,3067.4,1268141,ASIANPAINT,236,3092.75,2760.0,92.38166791885803,92.06871119204993,1,1,0,0,1,0,0.0,1
139,139,2022-07-25T00:00:00,3069.5,3117.2,3051.65,3104.95,985844,ASIANPAINT,236,3117.2,2805.15,96.07434705976605,94.30478072906952,1,1,0,0,1,0,0.0,1
140,140,2022-07-26T00:00:00,3096.0,3149.8,3053.0,3108.5,2876310,ASIANPAINT,236,3149.8,2840.5,86.64726802457156,91.70109433439855,1,1,0,0,1,0,-0.0,1
141,141,2022-07-27T00:00:00,3118.95,3193.0,3096.0,3186.05,1976407,ASIANPAINT,236,3193.0,2840.5,98.02836879432628,93.58332795955464,1,1,0,0,1,0,0.0,1
142,142,2022-07-28T00:00:00,3198.0,3280.0,3182.0,3272.4,1332572,ASIANPAINT,236,3280.0,2851.35,98.22699171818502,94.30087617902763,1,1,0,0,1,0,0.0,1
143,143,2022-07-29T00:00:00,3285.4,3354.35,3275.0,3333.75,1836550,ASIANPAINT,236,3354.35,2885.4,95.60720759142768,97.287522701313,1,1,0,0,1,0,-0.0,1
144,144,2022-08-01T00:00:00,3340.05,3355.0,3314.5,3324.55,1076122,ASIANPAINT,236,3355.0,2912.4,93.1201988251243,95.65146604491234,1,1,0,0,1,0,-0.0,1
145,145,2022-08-02T00:00:00,3331.0,3404.75,3325.6,3396.15,1650536,ASIANPAINT,236,3404.75,2912.4,98.25327510917032,95.66022717524078,1,1,0,0,1,0,0.0,1
